ID,Date,Time,Category,Details,Image Path,id,date,time,class,details,image_path
47.0,"March 24, 2025",10:57 AM,Mobile Detected,Mobile Detected detected with 0.59 confidence,cheating_frames/Mobile Detected_2025-03-24_10-57-39.jpg,,,,,,
48.0,"March 24, 2025",10:57 AM,Cheating,Cheating detected with 0.81 confidence,cheating_frames/Cheating_2025-03-24_10-57-43.jpg,,,,,,
49.0,"March 24, 2025",10:57 AM,Giving Cheats,Giving Cheats detected with 0.41 confidence,cheating_frames/Giving Cheats_2025-03-24_10-57-45.jpg,,,,,,
50.0,"March 24, 2025",10:57 AM,Mobile Detected,Mobile Detected detected with 0.57 confidence,cheating_frames/Mobile Detected_2025-03-24_10-57-46.jpg,,,,,,
51.0,"March 24, 2025",10:57 AM,Mobile Detected,Mobile Detected detected with 0.60 confidence,cheating_frames/Mobile Detected_2025-03-24_10-57-52.jpg,,,,,,
52.0,"March 24, 2025",10:57 AM,Giving Cheats,Giving Cheats detected with 0.66 confidence,cheating_frames/Giving Cheats_2025-03-24_10-57-54.jpg,,,,,,
53.0,"March 24, 2025",10:57 AM,Mobile Detected,Mobile Detected detected with 0.68 confidence,cheating_frames/Mobile Detected_2025-03-24_10-57-57.jpg,,,,,,
54.0,"March 24, 2025",10:57 AM,Normal,Normal detected with 0.58 confidence,cheating_frames/Normal_2025-03-24_10-57-57.jpg,,,,,,
55.0,"March 24, 2025",10:58 AM,Giving Cheats,Giving Cheats detected with 0.67 confidence,cheating_frames/Giving Cheats_2025-03-24_10-58-00.jpg,,,,,,
56.0,"March 24, 2025",10:58 AM,Cheating,Cheating detected with 0.54 confidence,cheating_frames/Cheating_2025-03-24_10-58-00.jpg,,,,,,
57.0,"March 24, 2025",10:58 AM,Mobile Detected,Mobile Detected detected with 0.66 confidence,cheating_frames/Mobile Detected_2025-03-24_10-58-04.jpg,,,,,,
58.0,"March 24, 2025",10:58 AM,Giving Cheats,Giving Cheats detected with 0.55 confidence,cheating_frames/Giving Cheats_2025-03-24_10-58-05.jpg,,,,,,
59.0,"March 24, 2025",10:58 AM,Cheating,Cheating detected with 0.40 confidence,cheating_frames/Cheating_2025-03-24_10-58-08.jpg,,,,,,
60.0,"March 24, 2025",10:58 AM,Giving Cheats,Giving Cheats detected with 0.53 confidence,cheating_frames/Giving Cheats_2025-03-24_10-58-13.jpg,,,,,,
61.0,"March 24, 2025",10:58 AM,Cheating,Cheating detected with 0.46 confidence,cheating_frames/Cheating_2025-03-24_10-58-13.jpg,,,,,,
